ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLY_DATE
ANC,SEA,1448,1/10/2008
LAX,PBI,2330,1/11/1990
SFO,CLT,2296,1/12/1990
LAX,MIA,2342,1/10/1990
SEA,ANC,1448,1/02/1990
SFO,MSP,1589,1/03/1990
LAS,MSP,1299,1/01/1990
LAX,CLT,2125,1/09/1990
SFO,DFW,1464,1/11/1990
LAS,ATL,1747,1/02/1990
DEN,ATL,1199,1/01/1990
LAS,MIA,2174,1/02/1990
LAX,MSP,1535,1/03/1990
SLC,ATL,1590,1/04/1990
SEA,MSP,1399,1/01/1990
ANC,SEA,1448,1/01/1990
ANC,SEA,1448,1/10/1990
SFO,IAH,1635,1/06/1990
ANC,PDX,1542,1/02/1990
PDX,MSP,1426,1/02/1990
LAS,MCI,1139,1/10/1990
SEA,MIA,2724,1/09/1990
LAS,DFW,1055,1/09/1990
LAX,MIA,2342,1/06/1990
LAS,MSP,1299,1/03/1990
LAX,IAH,1379,1/08/1990
FAI,SEA,1533,1/03/1990
MSP,FLL,1487,1/11/1990
LAS,CLT,1916,1/04/1990
DEN,MIA,1709,1/12/1990
PHX,ORD,1440,1/04/1990
PHX,MIA,1972,1/05/1990
ANC,SEA,1448,1/08/1990
SLC,ATL,1590,1/05/1990
LAS,IAH,1222,1/11/1990
LAS,HNL,2762,1/12/1990
ANC,PHX,2552,1/07/1990
SJU,EWR,1608,1/07/1990
ANC,SEA,1448,1/01/1990
SJU,JFK,1598,1/08/1990
PBG,FLL,1334,1/08/1990
PHX,DFW,868,1/04/1990
PHX,DFW,868,1/07/1990
ANC,PDX,1542,1/07/1990
IAG,FLL,1176,1/10/1990
SJU,EWR,1608,1/01/1990
PHX,CLT,1773,1/02/1990
ANC,SEA,1448,1/10/1990
PSE,MCO,1179,1/09/1990
BQN,EWR,1585,1/03/1990
BQN,MCO,1129,1/09/1990
SJU,BOS,1674,1/04/1990
SJU,MCO,1189,1/06/1990
BQN,MCO,1129,1/01/1990
PSE,MCO,1179,1/06/1990
SJU,BDL,1666,1/08/1990
ORD,PHX,1440,1/03/1990
GEG,SEA,224,1/05/1990
HNL,ITO,216,1/12/1990
ONT,SFO,363,1/11/1990
HNL,KOA,163,1/12/1990
ANC,SEA,1448,1/11/1990
HNL,OGG,100,1/11/1990
ORD,IAH,925,1/03/1990
MCO,MIA,192,1/04/1990
BOS,MYR,738,1/12/1990
HIB,MSP,174,1/02/1990
ABR,MSP,257,1/06/1990
MAF,IAH,429,1/07/1990
SEA,PHX,1107,1/02/1990
DFW,MIA,1121,1/05/1990
BOS,MIA,1258,1/10/1990
MKE,IAH,984,1/05/1990
PDX,PHX,1009,1/03/1990
IAH,MIA,964,1/01/1990
BNA,DTW,456,1/02/1990
BRO,IAH,308,1/01/1990
VPS,ATL,250,1/12/1991
BOI,SFO,522,1/12/1991
BJI,MSP,199,1/12/1991
HNL,LIH,102,1/02/1991
BNA,ATL,214,1/11/1991
SGF,DFW,364,1/09/1991
PHL,IAH,1325,1/05/1991
PDX,DEN,991,1/10/1991
SEA,DEN,1024,1/08/1991
DEN,DFW,641,1/06/1991
SBN,ORD,84,1/03/1991
PHL,MCO,861,1/04/1991
ORD,FLL,1182,1/01/1991
RDD,SFO,199,1/07/1991
EUG,DEN,996,1/08/1991
SFO,DEN,967,1/05/1991
ORD,DEN,888,1/05/1991
IAD,IAH,1190,1/03/1991
